doc_id,timestamp,n_chunks,total_chars,chunk_time_s,embed_time_s,upsert_time_s,total_time_s,chars_per_s,ram_delta_mb,ram_peak_mb,vram_peak_mb,avg_sparse_tokens,status
relatorio_avaliacao-cmas-2019-cebas-educacao,2026-07-29T20:20:58+00:00,201,203986,0.603,9.087,0.371,10.42,22449.3,9.4,2391.6,8.1,104.3,ok
eubndes-relatorio-de-avaliacao,2026-07-29T20:21:09+00:00,256,326104,0.975,9.514,0.47,11.371,34275.6,-70.7,2390.6,8.1,124.6,ok
relatorio-de-avaliacao-politica-de-prevencao-e-combate-ao-desmatamento-ile,2026-07-29T20:21:20+00:00,332,383075,1.176,10.058,0.623,12.3,38086.6,70.2,2391.5,8.1,104.3,ok
relatorio_avaliacao-cmag-2020-previdurb,2026-07-29T20:21:33+00:00,2456,3567626,10.746,32.101,4.487,50.496,111136.5,84.6,2476.1,8.1,68.3,ok
relatorio_avaliacao-cmag-2019-seguro-desemprego,2026-07-29T20:22:24+00:00,100,118224,0.338,8.453,0.174,9.327,13985.5,16.3,2437.3,8.1,119.9,ok
financ-ct-i-saude_relatorio-de-avaliacao,2026-07-29T20:22:33+00:00,261,308427,0.842,9.447,0.489,11.162,32649.1,-1.7,2436.3,8.1,116.9,ok
fmm_relatorio-de-avaliacao,2026-07-29T20:22:45+00:00,350,333915,1.224,9.728,0.53,11.994,34326.1,-21.7,2432.6,8.1,92.4,ok
pronac_relatorio-de-avaliacao,2026-07-29T20:22:57+00:00,593,787279,2.623,12.392,1.063,16.825,63530.6,7.0,2417.0,8.1,113.9,ok
relatorio_avaliacao-cmas-2019-pnmpo,2026-07-29T20:23:14+00:00,172,194050,0.922,9.228,0.3,11.039,21027.9,-2.3,2415.0,8.1,125.2,ok
relatorio_avaliacao-cmas-2019-proger,2026-07-29T20:23:25+00:00,90,108490,0.41,8.477,0.164,9.493,12798.7,-6.5,2411.7,8.1,108.4,ok
relatorio_avaliacao-cmas-2019-lei-de-informatica,2026-07-29T20:23:35+00:00,222,233633,0.69,9.112,0.449,10.667,25639.9,18.8,2423.0,8.1,115.0,ok
desoneracao-cesta-basica-relatorio-de-avaliacao,2026-07-29T20:23:45+00:00,249,300076,1.423,9.752,0.442,12.272,30770.2,-55.6,2422.0,8.1,114.8,ok
relatorio_avaliacao-cmag-2019-judicializacao,2026-07-29T20:23:58+00:00,56,69494,0.208,8.258,0.097,8.899,8415.1,48.1,2413.6,8.1,106.5,ok
relatorio_avaliacao-cmas-2020-pmcmv,2026-07-29T20:24:07+00:00,580,670969,2.28,11.767,1.007,15.826,57020.5,-53.9,2412.6,8.1,106.1,ok
relatorio_avaliacao-cmas-2020-fcfs,2026-07-29T20:24:23+00:00,502,515110,1.712,11.065,0.88,14.503,46554.2,-5.9,2363.6,8.1,102.5,ok
relatorio_avaliacao_lie_atualizacao,2026-07-29T20:24:38+00:00,248,249031,0.78,9.274,0.477,10.951,26852.3,44.7,2403.9,8.1,108.9,ok
biodiesel_relatorio-de-avaliacao,2026-07-29T20:24:49+00:00,425,544395,1.707,10.934,0.818,13.998,49791.3,19.2,2421.1,8.1,128.6,ok
despesas-educacao-irpf-relatorio-de-avaliacao,2026-07-29T20:25:03+00:00,257,277195,0.962,9.526,0.498,11.495,29100.3,25.4,2446.4,8.1,100.5,ok
relatorio_avaliacao-cmas-2019-cde,2026-07-29T20:25:15+00:00,262,308554,0.973,9.581,0.491,11.481,32206.1,-27.0,2444.4,8.1,111.6,ok
parcela-isenta-irpf-aposentadoria-65-relatorio-de-avaliacao,2026-07-29T20:25:26+00:00,145,161828,0.491,8.756,0.259,9.926,18481.2,4.9,2421.3,8.1,102.9,ok
relatorio_avaliacao-cmag-2019-ceaf,2026-07-29T20:25:36+00:00,368,435822,1.518,10.377,0.7,13.213,41999.5,-12.9,2419.3,8.1,131.8,ok
rfu-relatorio-de-avaliacao,2026-07-29T20:25:50+00:00,476,572462,1.505,10.828,0.906,13.75,52870.9,1.0,2407.4,8.1,125.6,ok
relatorio_avaliacao-cmag-2020-bpc,2026-07-29T20:26:04+00:00,282,377564,1.224,9.877,0.497,12.072,38226.2,12.3,2418.7,8.1,112.7,ok
manutencao-de-rodovias-relatorio-de-avaliacao,2026-07-29T20:26:16+00:00,309,331612,1.053,9.613,0.556,11.662,34494.9,0.7,2418.4,8.1,95.8,ok
relatorio_avaliacao-cmas-2020-leasing,2026-07-29T20:26:28+00:00,122,154913,0.47,8.653,0.244,9.745,17903.8,5.8,2422.2,8.1,123.2,ok
pisf-relatorio-de-avaliacao,2026-07-29T20:26:37+00:00,854,1078817,3.52,13.982,1.646,19.994,77155.4,-7.5,2421.2,8.1,129.1,ok
proresidencia-relatorio-de-avaliacao,2026-07-29T20:26:58+00:00,408,496619,1.504,10.699,0.774,13.557,46419.5,6.1,2407.4,8.1,120.4,ok
relatorio_avaliacao-cmag-2019-defesa-agropecuaria,2026-07-29T20:27:11+00:00,401,489197,1.706,10.676,0.733,13.704,45821.7,15.0,2421.4,8.1,119.7,ok
relatorio_avaliacao-cmas-2019-fies,2026-07-29T20:27:25+00:00,195,270868,0.861,9.421,0.328,11.071,28750.0,-12.3,2421.5,8.1,92.5,ok
fat-relatorio-de-avaliacoes,2026-07-29T20:27:37+00:00,316,271902,1.114,9.642,0.559,11.923,28200.6,-48.1,2409.2,8.1,97.5,ok
fndct-relatorio-de-avaliacao,2026-07-29T20:27:49+00:00,527,585964,1.907,11.321,0.989,14.857,51761.3,40.4,2400.5,8.1,107.3,ok
relatorio_avaliacao_fundoclima_atualizacao,2026-07-29T20:28:04+00:00,664,797254,2.531,12.512,1.366,17.138,63717.0,22.0,2421.5,8.1,120.4,ok
medicamentos-relatorio-de-avaliacao,2026-07-29T20:28:21+00:00,324,382884,1.297,10.193,0.621,12.675,37562.0,-20.8,2422.3,8.1,112.3,ok
relatorio_avaliacao-cmag-2020-pnae,2026-07-29T20:28:34+00:00,644,857372,2.729,12.58,1.225,17.145,68153.7,-48.2,2399.5,8.1,114.1,ok
benefprevfapi_relatorio-de-avaliacao,2026-07-29T20:28:51+00:00,402,440065,1.495,10.492,0.74,13.416,41942.9,62.5,2426.5,8.1,118.0,ok
relatorio_avaliacao_wi-fibrasil_atualizacao,2026-07-29T20:29:05+00:00,388,520168,1.689,10.653,0.739,13.629,48829.3,-63.4,2426.5,8.1,141.1,ok
politica-nuclear_relatorio-de-avaliacao,2026-07-29T20:29:19+00:00,480,599074,2.084,11.307,0.915,14.994,52981.8,59.9,2424.5,8.1,137.6,ok
sasisus_relatorio-de-avaliacao,2026-07-29T20:29:34+00:00,534,555159,2.331,11.574,1.051,16.032,47965.8,-21.2,2424.5,8.1,108.5,ok
relatorio_avaliacao-cmag-2020-aps,2026-07-29T20:29:50+00:00,242,287410,1.007,9.644,0.41,11.61,29801.3,19.0,2420.3,8.1,113.0,ok
relatorio_avaliacao-cmas-2020-simples-nacional,2026-07-29T20:30:02+00:00,242,303057,0.951,9.466,0.417,11.242,32015.1,-9.0,2419.3,8.1,98.6,ok
relatorio_avaliacao-cmas-2020-pronaf,2026-07-29T20:30:13+00:00,564,811437,2.553,12.196,1.04,16.462,66534.8,9.0,2418.3,8.1,118.0,ok
93eb657d-9a51-4a08-a3b8-814d60663feb,2026-07-31T19:12:16+00:00,174,201331,2.28,4.109,0.327,7.187,48991.6,310.9,2360.5,8.1,119.2,ok
perse_publicacao,2026-07-31T21:05:26+00:00,174,201331,0.104,9.205,0.33,10.079,21870.8,3.9,2362.9,8.1,119.2,ok
perse_publicacao,2026-08-03T16:10:46+00:00,174,201331,0.094,8.063,0.331,8.912,24968.6,2.5,2365.4,8.1,119.2,ok
despesas-educacao-irpf-relatorio-de-avaliacao,2026-08-03T19:53:06+00:00,200,213002,2.155,3.191,0.352,6.312,66740.5,296.9,2329.5,8.1,99.5,ok
despesas-educacao-irpf-relatorio-de-avaliacao,2026-08-03T19:58:54+00:00,234,264912,2.317,3.315,0.433,6.687,79920.2,333.9,2366.4,8.1,104.4,ok
rfepct-relatorio-de-avaliacao,2026-08-03T20:00:28+00:00,399,499668,2.785,3.854,0.761,8.142,129633.3,339.1,2375.1,8.1,128.9,ok
relatorio_avaliacao_ocp_atualizacao,2026-08-03T20:00:36+00:00,384,432209,1.271,8.199,0.714,10.896,52712.1,-9.7,2368.9,8.1,116.9,ok
prouni_relatorio-de-avaliacao,2026-08-03T20:00:47+00:00,190,221787,0.779,7.573,0.286,9.198,29286.7,6.1,2363.9,8.1,106.9,ok
relatorio_avaliacao-cmag-2020-mac,2026-08-03T20:00:56+00:00,153,215408,0.722,7.65,0.295,9.224,28156.8,14.2,2378.1,8.1,132.6,ok
exames-educ-basica_relatorio-de-avaliacao,2026-08-03T20:01:06+00:00,364,434685,1.38,8.218,0.672,10.984,52896.4,7.3,2384.4,8.1,112.7,ok
relatorio_avaliacao-cmag-2020-abono,2026-08-03T20:01:17+00:00,144,182085,0.599,7.552,0.262,8.948,24110.8,-8.0,2384.4,8.1,108.1,ok
relatorio_avaliacao-cmag-2020-sisceab,2026-08-03T20:01:26+00:00,245,345581,1.135,8.051,0.482,10.246,42925.6,-11.7,2376.4,8.1,123.5,ok
relatorio_avaliacao-cmag-2020-pbf,2026-08-03T20:01:37+00:00,288,393448,1.185,8.146,0.53,10.505,48299.7,1.3,2365.0,8.1,125.0,ok
relatorio_avaliacao-cmag-sdpa,2026-08-03T20:01:48+00:00,195,258254,0.899,7.684,0.343,9.497,33607.2,21.0,2386.1,8.1,120.8,ok
relatorio_avaliacao-cmas-2020-cebas-saude,2026-08-03T20:01:57+00:00,305,369585,1.302,8.095,0.582,10.68,45657.2,-9.9,2385.1,8.1,110.2,ok
relatorio_avaliacao-cmas-2020-psrproagro,2026-08-03T20:02:08+00:00,86,91559,0.31,7.305,0.143,8.205,12534.3,-78.5,2375.2,8.1,122.8,ok
despesas-com-pct_relatorio-de-avaliacao,2026-08-03T20:02:16+00:00,156,194262,0.644,7.515,0.319,9.005,25850.0,68.0,2367.2,8.1,133.6,ok
seguranca-publica-relatorio-de-avaliacao,2026-08-03T20:02:26+00:00,217,179499,0.556,7.493,0.393,9.248,23954.3,24.1,2388.3,8.1,69.3,ok
relatorio_avaliacao-cmas-2020-deducao-despesas-medicas,2026-08-03T20:02:35+00:00,114,139632,0.464,7.477,0.223,8.64,18675.3,0.8,2387.1,8.1,102.6,ok
relatorio_avaliacao-cmas-2020-molestias-graves,2026-08-03T20:02:44+00:00,133,144491,0.534,7.509,0.261,8.856,19243.5,-60.5,2387.1,8.1,112.3,ok
proex_relatorio-de-avaliacao,2026-08-03T20:02:53+00:00,160,184515,0.642,7.544,0.276,9.019,24457.9,58.7,2383.4,8.1,109.4,ok
perse_publicacao,2026-08-03T20:03:02+00:00,143,177779,0.525,7.535,0.276,8.832,23594.1,-16.0,2382.4,8.1,127.1,ok
imuno-ist-relatorio-de-avaliacao,2026-08-03T20:03:11+00:00,330,345505,1.074,7.962,0.61,10.191,43395.4,23.0,2387.5,8.1,120.0,ok
fomento-p-d_relatorio-de-avaliacao,2026-08-03T20:03:21+00:00,325,472815,1.991,8.284,0.641,11.87,57077.7,-5.9,2387.5,8.1,130.6,ok
ftra_relatorio-de-avaliacao,2026-08-03T20:03:33+00:00,229,348280,1.008,7.959,0.448,9.99,43757.9,14.0,2395.6,8.1,143.3,ok
postos-mre_relatorio-de-avaliacao,2026-08-03T20:03:43+00:00,207,228841,0.684,7.622,0.387,9.193,30023.4,1.0,2395.6,8.1,100.9,ok
relatorio_avaliacao_termoeletricidade_atualizacao,2026-08-03T20:03:53+00:00,232,243407,0.773,7.672,0.422,9.404,31725.5,-3.0,2394.6,8.1,104.0,ok
esgotamento-sanitario_relatorio-de-avaliacao,2026-08-03T20:04:02+00:00,253,330442,1.015,7.968,0.454,10.032,41472.2,-21.9,2391.6,8.1,116.6,ok
perse_publicacao,2026-08-03T20:04:13+00:00,143,177779,0.541,7.45,0.277,8.758,23863.8,12.0,2380.7,8.1,127.1,ok
mei-relatorio-avaliacao,2026-08-03T20:04:21+00:00,400,507061,1.782,8.518,0.716,11.96,59531.1,14.0,2393.7,8.1,135.3,ok
relatorio_avaliacao-cmas-2019-cebas-educacao,2026-08-03T20:04:34+00:00,141,169939,0.622,7.482,0.282,8.869,22713.6,-25.0,2394.1,8.1,117.5,ok
93eb657d-9a51-4a08-a3b8-814d60663feb,2026-08-03T20:04:43+00:00,143,177779,0.09,7.54,0.267,8.379,23578.5,17.3,2384.4,8.1,127.1,ok
eubndes-relatorio-de-avaliacao,2026-08-03T20:04:51+00:00,226,311638,0.938,7.807,0.442,9.759,39915.2,11.2,2394.6,8.1,124.8,ok
relatorio-de-avaliacao-politica-de-prevencao-e-combate-ao-desmatamento-ile,2026-08-03T20:05:01+00:00,304,351087,1.129,8.047,0.554,10.337,43632.0,-26.9,2394.8,8.1,108.3,ok
relatorio_avaliacao-cmag-2020-previdurb,2026-08-03T20:05:12+00:00,2425,3574416,10.684,18.815,4.566,37.678,189979.5,88.0,2454.8,8.1,70.4,ok
relatorio_avaliacao-cmag-2019-seguro-desemprego,2026-08-03T20:05:50+00:00,94,113008,0.406,7.365,0.144,8.394,15343.4,4.3,2426.5,8.1,121.9,ok
financ-ct-i-saude_relatorio-de-avaliacao,2026-08-03T20:05:59+00:00,213,289745,0.855,7.821,0.391,9.581,37048.1,2.0,2428.5,8.1,127.1,ok
fmm_relatorio-de-avaliacao,2026-08-03T20:06:08+00:00,334,349238,1.282,8.072,0.604,10.601,43265.2,8.6,2436.1,8.1,98.6,ok
pronac_relatorio-de-avaliacao,2026-08-03T20:06:19+00:00,562,771857,2.606,9.156,0.977,13.706,84305.3,-36.9,2435.1,8.1,106.2,ok
relatorio_avaliacao-cmas-2019-pnmpo,2026-08-03T20:06:33+00:00,164,184940,0.926,7.721,0.315,9.681,23952.5,2.1,2398.4,8.1,120.0,ok
relatorio_avaliacao-cmas-2019-proger,2026-08-03T20:06:43+00:00,88,104776,0.43,7.352,0.15,8.432,14251.8,25.5,2420.9,8.1,106.1,ok
relatorio_avaliacao-cmas-2019-lei-de-informatica,2026-08-03T20:06:51+00:00,172,202521,0.62,7.598,0.315,9.012,26653.1,1.8,2422.6,8.1,128.9,ok
desoneracao-cesta-basica-relatorio-de-avaliacao,2026-08-03T20:07:01+00:00,219,297929,1.459,7.963,0.399,10.571,37415.6,-31.7,2419.6,8.1,124.0,ok
relatorio_avaliacao-cmag-2019-judicializacao,2026-08-03T20:07:11+00:00,50,65188,0.249,7.236,0.103,7.998,9008.7,28.7,2414.7,8.1,98.8,ok
relatorio_avaliacao-cmas-2020-pmcmv,2026-08-03T20:07:20+00:00,532,648255,2.241,8.878,0.917,13.007,73016.6,8.1,2420.8,8.1,112.4,ok
relatorio_avaliacao-cmas-2020-fcfs,2026-08-03T20:07:33+00:00,490,528785,1.754,8.603,0.855,12.235,61465.6,-3.0,2420.8,8.1,106.0,ok
relatorio_avaliacao_lie_atualizacao,2026-08-03T20:07:45+00:00,234,233673,0.79,7.696,0.41,9.417,30362.4,-21.0,2415.8,8.1,111.5,ok
biodiesel_relatorio-de-avaliacao,2026-08-03T20:07:55+00:00,381,504780,1.555,8.371,0.716,11.404,60302.7,24.0,2417.8,8.1,124.5,ok
despesas-educacao-irpf-relatorio-de-avaliacao,2026-08-03T20:08:07+00:00,234,264912,1.015,7.888,0.425,9.985,33585.7,-34.0,2417.8,8.1,104.4,ok
relatorio_avaliacao-cmas-2019-cde,2026-08-03T20:08:17+00:00,257,309320,0.992,8.079,0.486,10.126,38288.0,54.2,2436.0,8.1,113.4,ok
parcela-isenta-irpf-aposentadoria-65-relatorio-de-avaliacao,2026-08-03T20:08:27+00:00,137,152795,0.492,7.555,0.269,8.82,20225.6,-20.7,2436.0,8.1,104.6,ok
relatorio_avaliacao-cmag-2019-ceaf,2026-08-03T20:08:36+00:00,322,384881,1.398,8.246,0.614,11.021,46675.8,-20.4,2415.3,8.1,137.0,ok
rfu-relatorio-de-avaliacao,2026-08-03T20:08:47+00:00,427,619626,1.554,8.581,0.827,11.639,72210.1,-2.0,2395.0,8.1,149.9,ok
relatorio_avaliacao-cmag-2020-bpc,2026-08-03T20:08:59+00:00,244,366831,1.056,8.039,0.457,10.193,45630.0,18.2,2410.1,8.1,121.1,ok
manutencao-de-rodovias-relatorio-de-avaliacao,2026-08-03T20:09:09+00:00,287,328260,1.021,7.942,0.521,10.109,41332.8,6.8,2415.9,8.1,99.5,ok
relatorio_avaliacao-cmas-2020-leasing,2026-08-03T20:09:20+00:00,98,140864,0.514,7.448,0.178,8.62,18913.4,-4.8,2415.9,8.1,139.8,ok
pisf-relatorio-de-avaliacao,2026-08-03T20:09:28+00:00,684,1024114,3.281,9.681,1.344,15.436,105783.6,-9.0,2411.2,8.1,145.2,ok
proresidencia-relatorio-de-avaliacao,2026-08-03T20:09:44+00:00,340,475330,1.547,8.316,0.617,11.263,57158.7,-16.2,2402.1,8.1,132.5,ok
relatorio_avaliacao-cmag-2019-defesa-agropecuaria,2026-08-03T20:09:56+00:00,395,483054,1.712,8.466,0.785,11.695,57056.4,37.0,2419.9,8.1,123.3,ok
relatorio_avaliacao-cmas-2019-fies,2026-08-03T20:10:07+00:00,186,256024,0.892,7.923,0.336,9.7,32313.7,-20.1,2417.0,8.1,81.7,ok
fat-relatorio-de-avaliacoes,2026-08-03T20:10:17+00:00,304,305084,1.16,8.03,0.536,10.411,37992.9,-12.0,2395.9,8.1,111.0,ok
fndct-relatorio-de-avaliacao,2026-08-03T20:10:28+00:00,409,501958,1.701,8.396,0.801,11.749,59784.7,36.0,2416.9,8.1,116.4,ok
relatorio_avaliacao_fundoclima_atualizacao,2026-08-03T20:10:40+00:00,646,798632,2.586,9.319,1.266,14.117,85696.9,-26.0,2417.0,8.1,128.3,ok
medicamentos-relatorio-de-avaliacao,2026-08-03T20:10:54+00:00,298,386682,1.27,8.148,0.586,10.764,47458.2,9.0,2400.2,8.1,120.0,ok
relatorio_avaliacao-cmag-2020-pnae,2026-08-03T20:11:05+00:00,621,864227,2.77,9.24,1.129,14.169,93530.0,18.2,2417.5,8.1,121.3,ok
benefprevfapi_relatorio-de-avaliacao,2026-08-03T20:11:19+00:00,354,409359,1.463,8.24,0.642,11.25,49681.1,4.8,2420.5,8.1,118.2,ok
relatorio_avaliacao_wi-fibrasil_atualizacao,2026-08-03T20:11:31+00:00,349,477679,1.676,13.362,0.67,16.411,35750.1,-2.8,2420.5,8.1,146.9,ok
politica-nuclear_relatorio-de-avaliacao,2026-08-03T20:11:47+00:00,384,552157,1.992,8.545,0.726,12.107,64617.6,-10.0,2415.7,8.1,155.8,ok
sasisus_relatorio-de-avaliacao,2026-08-03T20:12:00+00:00,493,522829,2.318,8.996,0.92,13.408,58120.5,-12.0,2403.7,8.1,117.9,ok
relatorio_avaliacao-cmag-2020-aps,2026-08-03T20:12:13+00:00,193,264857,0.87,7.827,0.4,9.804,33838.4,45.1,2436.8,8.1,128.9,ok
relatorio_avaliacao-cmas-2020-simples-nacional,2026-08-03T20:12:23+00:00,214,288017,0.892,7.825,0.425,9.73,36808.1,-19.7,2435.8,8.1,107.2,ok
relatorio_avaliacao-cmas-2020-pronaf,2026-08-03T20:12:33+00:00,541,792735,2.657,9.096,1.07,13.831,87152.1,-36.2,2416.1,8.1,118.6,ok
