doc_id,timestamp,n_chunks,total_chars,chunk_time_s,embed_time_s,upsert_time_s,total_time_s,chars_per_s,ram_delta_mb,ram_peak_mb,vram_peak_mb,avg_sparse_tokens,status
eubndes-relatorio-de-avaliacao,2026-07-22T04:42:44+00:00,191,305775,0.901,9.204,0.331,10.841,33220.3,-1.0,2421.4,8.1,133.7,ok
relatorio_avaliacao-cmas-2019-lei-de-informatica,2026-07-22T04:42:55+00:00,195,224722,0.597,9.033,0.365,10.404,24876.6,0.5,2420.9,8.1,119.7,ok
relatorio_avaliacao_wi-fibrasil_atualizacao,2026-07-22T04:43:06+00:00,324,490691,1.711,10.227,0.69,13.139,47979.1,1.5,2421.4,8.1,134.8,ok
fndct-relatorio-de-avaliacao,2026-07-22T04:43:19+00:00,452,552840,1.645,10.78,1.08,14.137,51285.9,1.0,2418.4,8.1,106.2,ok
financ-ct-i-saude_relatorio-de-avaliacao,2026-07-22T04:43:33+00:00,203,282384,0.765,9.201,0.372,10.737,30692.1,0.0,2417.5,8.1,123.0,ok
relatorio_avaliacao-cmag-2020-bpc,2026-07-22T04:43:44+00:00,220,350434,1.037,9.485,0.663,11.7,36944.8,30.0,2445.4,8.1,116.5,ok
imuno-ist-relatorio-de-avaliacao,2026-07-22T04:43:56+00:00,317,346704,1.172,9.531,0.595,11.82,36377.8,-24.0,2441.4,8.1,107.8,ok
relatorio_avaliacao-cmag-2020-pbf,2026-07-22T04:44:08+00:00,328,401763,1.205,9.856,0.86,12.487,40761.6,0.0,2416.4,8.1,101.3,ok
relatorio_avaliacao-cmas-2019-proger,2026-07-22T04:44:21+00:00,77,105452,0.283,8.529,0.141,9.453,12364.6,1.2,2415.7,8.1,108.5,ok
relatorio_avaliacao-cmag-sdpa,2026-07-22T04:44:30+00:00,246,265146,0.865,9.269,0.749,11.366,28605.2,2.7,2417.4,8.1,95.8,ok
relatorio_avaliacao-cmas-2020-pronaf,2026-07-22T04:44:42+00:00,504,766697,2.14,11.252,0.924,15.031,68141.7,2.0,2418.4,8.1,110.1,ok
relatorio_avaliacao_fundoclima_atualizacao,2026-07-22T04:44:57+00:00,589,784839,2.256,11.795,1.109,15.905,66539.2,2.2,2419.6,8.1,116.8,ok
fmm_relatorio-de-avaliacao,2026-07-22T04:45:13+00:00,293,323195,1.305,9.477,0.519,11.991,34104.4,8.3,2429.1,8.1,95.2,ok
relatorio_avaliacao-cmag-2020-aps,2026-07-22T04:45:25+00:00,246,275712,0.835,9.269,0.434,11.176,29746.0,-4.2,2426.1,8.1,97.7,ok
relatorio_avaliacao-cmag-2019-defesa-agropecuaria,2026-07-22T04:45:37+00:00,323,467751,1.665,10.191,1.042,13.549,45898.5,-8.9,2422.0,8.1,119.4,ok
exames-educ-basica_relatorio-de-avaliacao,2026-07-22T04:45:51+00:00,477,457729,1.16,10.309,0.848,12.981,44401.7,10.5,2422.6,8.1,90.8,ok
relatorio_avaliacao_ocp_atualizacao,2026-07-22T04:46:04+00:00,374,450797,1.261,10.199,0.723,12.844,44201.6,10.0,2430.6,8.1,110.2,ok
relatorio_avaliacao-cmas-2020-leasing,2026-07-22T04:46:17+00:00,106,148355,0.438,8.611,0.212,9.789,17228.7,17.3,2446.9,8.1,118.4,ok
parcela-isenta-irpf-aposentadoria-65-relatorio-de-avaliacao,2026-07-22T04:46:27+00:00,135,160281,0.432,8.708,0.274,10.058,18405.5,-24.7,2445.9,8.1,98.9,ok
rfu-relatorio-de-avaliacao,2026-07-22T04:46:37+00:00,449,563868,1.555,10.542,0.805,13.539,53490.2,1.2,2422.6,8.1,120.9,ok
ftra_relatorio-de-avaliacao,2026-07-22T04:46:51+00:00,188,326440,0.944,9.223,0.346,11.131,35393.8,6.5,2427.1,8.1,143.9,ok
pronac_relatorio-de-avaliacao,2026-07-22T04:47:02+00:00,373,768098,2.484,10.955,0.728,15.099,70115.7,17.7,2443.8,8.1,125.4,ok
proex_relatorio-de-avaliacao,2026-07-22T04:47:17+00:00,166,198289,0.557,8.997,0.333,10.571,22040.0,-10.4,2442.8,8.1,113.4,ok
relatorio_avaliacao_lie_atualizacao,2026-07-22T04:47:28+00:00,275,254337,0.79,9.198,0.518,11.165,27650.7,10.3,2442.8,8.1,96.4,ok
sasisus_relatorio-de-avaliacao,2026-07-22T04:47:39+00:00,392,510151,2.595,10.666,0.716,15.172,47830.4,9.0,2450.8,8.1,109.7,ok
relatorio_avaliacao-cmas-2020-cebas-saude,2026-07-22T04:47:55+00:00,255,354133,1.189,9.579,0.512,12.131,36970.0,-19.4,2448.8,8.1,108.9,ok
medicamentos-relatorio-de-avaliacao,2026-07-22T04:48:07+00:00,262,351093,1.156,9.608,0.513,12.103,36541.1,1.4,2428.8,8.1,112.8,ok
relatorio_avaliacao-cmas-2019-cde,2026-07-22T04:48:19+00:00,206,286114,0.914,9.386,0.379,11.352,30483.7,8.0,2436.8,8.1,117.0,ok
desoneracao-cesta-basica-relatorio-de-avaliacao,2026-07-22T04:48:31+00:00,189,278482,1.726,9.206,0.339,12.171,30250.2,-6.7,2435.8,8.1,112.5,ok
seguranca-publica-relatorio-de-avaliacao,2026-07-22T10:39:54+00:00,431,459371,2.595,3.788,0.769,8.043,121255.6,318.3,2377.8,8.1,78.4,ok
relatorio_avaliacao_termoeletricidade_atualizacao,2026-07-22T10:40:02+00:00,234,265552,0.721,7.787,0.439,9.629,34102.7,27.9,2398.3,8.1,106.3,ok
relatorio_avaliacao-cmas-2020-deducao-despesas-medicas,2026-07-22T10:40:12+00:00,123,146826,0.411,7.527,0.226,8.81,19505.6,6.2,2404.6,8.1,97.7,ok
relatorio_avaliacao-cmas-2020-molestias-graves,2026-07-22T13:58:40+00:00,96,134973,1.898,2.907,0.173,5.7,46433.7,285.4,2334.1,8.1,110.7,ok
relatorio_avaliacao-cmas-2020-molestias-graves,2026-07-22T14:01:45+00:00,96,134973,0.065,181.328,0.171,182.243,744.4,1333.3,3666.4,8.1,110.7,ok
relatorio_avaliacao-cmag-2020-abono,2026-07-22T14:04:47+00:00,113,183242,0.378,7.461,0.234,8.732,24558.4,250.4,3927.2,8.1,116.8,ok
relatorio_avaliacao-cmas-2020-molestias-graves,2026-07-22T14:07:05+00:00,96,134973,0.075,213.003,0.162,214.04,633.7,-0.8,3927.2,8.1,110.7,ok
relatorio_avaliacao-cmas-2020-deducao-despesas-medicas,2026-07-22T14:10:40+00:00,94,139727,0.368,219.72,0.173,220.946,635.9,81.7,4008.2,8.1,113.7,ok
relatorio_avaliacao-cmag-2020-abono,2026-07-22T14:14:21+00:00,113,183242,0.094,10.184,0.214,11.155,17993.4,42.4,4050.6,8.1,116.8,ok
seguranca-publica-relatorio-de-avaliacao,2026-07-22T14:14:32+00:00,460,457787,1.373,33.504,0.823,36.679,13663.8,14.1,4063.7,8.1,75.5,ok
relatorio_avaliacao-cmas-2019-pnmpo,2026-07-22T14:15:09+00:00,101,166955,0.834,268.377,0.205,270.477,622.1,110.1,4165.0,8.1,133.8,ok
relatorio_avaliacao-cmag-2019-judicializacao,2026-07-22T14:19:39+00:00,38,61952,0.17,149.828,0.089,150.775,413.5,19.0,4184.0,8.1,118.8,ok
relatorio_avaliacao_termoeletricidade_atualizacao,2026-07-22T14:22:10+00:00,213,253163,1.252,41.713,0.434,44.177,6069.1,-44.8,4184.0,8.1,109.9,ok
postos-mre_relatorio-de-avaliacao,2026-07-22T14:22:55+00:00,168,208650,0.532,7.481,0.314,9.002,27891.0,2.5,4140.7,8.1,105.4,ok
pisf-relatorio-de-avaliacao,2026-07-22T14:23:04+00:00,584,976098,3.118,863.531,1.132,869.003,1130.4,123.6,4263.3,8.1,148.0,ok
relatorio_avaliacao-cmag-2020-previdurb,2026-07-22T14:37:33+00:00,1287,2548865,8.922,2144.988,2.221,2159.784,1188.3,91.4,4343.3,8.1,72.4,ok
relatorio_avaliacao-cmag-2019-seguro-desemprego,2026-07-22T15:13:34+00:00,76,108801,0.28,201.413,0.145,202.464,540.2,32.3,4340.7,8.1,133.4,ok
proresidencia-relatorio-de-avaliacao,2026-07-22T15:16:56+00:00,302,450935,1.415,435.223,0.585,438.116,1036.1,14.3,4355.0,8.1,125.2,ok
esgotamento-sanitario_relatorio-de-avaliacao,2026-07-22T15:24:15+00:00,218,264908,0.95,13.285,0.432,15.411,19941.0,-13.8,4354.6,8.1,111.6,ok
relatorio_avaliacao-cmag-2020-sisceab,2026-07-22T15:24:30+00:00,173,310753,0.93,7.706,0.325,9.668,40326.5,-2.5,4340.9,8.1,126.1,ok
manutencao-de-rodovias-relatorio-de-avaliacao,2026-07-22T15:24:40+00:00,236,312115,0.951,336.698,0.446,338.776,927.0,8.3,4345.7,8.1,105.1,ok
despesas-com-pct_relatorio-de-avaliacao,2026-07-22T15:30:19+00:00,129,193655,0.537,18.839,0.278,20.291,10279.3,5.8,4351.5,8.1,139.1,ok
relatorio_avaliacao-cmag-2020-pnae,2026-07-22T15:30:39+00:00,441,783058,2.325,618.238,0.909,622.374,1266.6,63.7,4415.2,8.1,130.5,ok
rfepct-relatorio-de-avaliacao,2026-07-22T15:41:02+00:00,364,486867,1.373,491.881,0.713,494.799,989.8,-31.3,4414.2,8.1,122.3,ok
prouni_relatorio-de-avaliacao,2026-07-22T15:49:17+00:00,172,214029,0.626,47.56,0.273,49.11,4500.2,6.3,4389.1,8.1,111.3,ok
benefprevfapi_relatorio-de-avaliacao,2026-07-22T15:50:06+00:00,307,403796,1.243,440.456,0.584,443.166,916.8,54.0,4443.1,8.1,124.6,ok
relatorio_avaliacao-cmas-2020-fcfs,2026-07-22T15:57:30+00:00,379,468778,1.323,16.544,0.675,19.602,28336.0,-39.8,4443.1,8.1,105.0,ok
fat-relatorio-de-avaliacoes,2026-07-22T15:57:49+00:00,229,249398,0.909,336.144,0.416,338.45,741.9,33.4,4435.8,8.1,102.4,ok
relatorio_avaliacao-cmas-2020-simples-nacional,2026-07-22T16:03:28+00:00,173,272324,0.914,335.592,0.334,337.486,811.5,-29.4,4435.8,8.1,105.5,ok
relatorio-de-avaliacao-politica-de-prevencao-e-combate-ao-desmatamento-ile,2026-07-22T16:09:06+00:00,234,333001,1.134,44.74,0.484,47.027,7443.1,-0.1,4406.4,8.1,114.3,ok
despesas-educacao-irpf-relatorio-de-avaliacao,2026-07-22T16:09:53+00:00,184,249076,0.949,315.894,0.364,318.566,788.5,2.5,4408.8,8.1,102.6,ok
biodiesel_relatorio-de-avaliacao,2026-07-22T16:15:12+00:00,297,492669,3.601,36.957,0.583,42.163,13330.9,3.6,4412.4,8.1,145.0,ok
politica-nuclear_relatorio-de-avaliacao,2026-07-22T16:15:54+00:00,331,546042,2.009,496.44,0.629,500.054,1099.9,7.8,4419.2,8.1,149.8,ok
relatorio_avaliacao-cmas-2020-psrproagro,2026-07-22T16:24:14+00:00,68,86103,0.295,190.271,0.105,191.275,452.5,1.1,4420.3,8.1,126.1,ok
relatorio_avaliacao-cmas-2020-pmcmv,2026-07-22T16:27:26+00:00,432,610564,1.954,528.425,0.767,532.081,1155.4,5.7,4426.0,8.1,110.5,ok
mei-relatorio-avaliacao,2026-07-22T16:36:18+00:00,293,477829,1.62,8.296,0.537,11.453,57599.3,5.6,4431.6,8.1,131.0,ok
relatorio_avaliacao-cmag-2020-mac,2026-07-22T16:36:29+00:00,142,206377,0.502,7.571,0.26,8.886,27258.0,0.9,4431.5,8.1,122.8,ok
fomento-p-d_relatorio-de-avaliacao,2026-07-22T16:36:39+00:00,263,441058,1.923,8.064,0.521,11.189,54694.2,2.1,4432.6,8.1,127.1,ok
relatorio_avaliacao-cmag-2019-ceaf,2026-07-22T16:36:50+00:00,254,390922,1.303,8.022,0.509,10.538,48731.8,0.4,4431.1,8.1,146.2,ok
relatorio_avaliacao-cmas-2019-lei-de-informatica,2026-07-22T16:37:01+00:00,172,215681,0.528,7.63,0.311,8.958,28268.3,2.1,4433.2,8.1,125.8,ok
relatorio_avaliacao-cmag-2020-bpc,2026-07-22T16:37:10+00:00,199,338708,0.871,7.857,0.357,9.649,43106.7,1.2,4433.4,8.1,123.1,ok
eubndes-relatorio-de-avaliacao,2026-07-22T16:37:20+00:00,185,299533,0.804,7.741,0.357,9.443,38695.8,0.7,4433.1,8.1,135.3,ok
relatorio_avaliacao_wi-fibrasil_atualizacao,2026-07-22T16:37:29+00:00,264,472707,1.43,8.148,0.503,10.68,58017.7,3.6,4436.7,8.1,154.6,ok
financ-ct-i-saude_relatorio-de-avaliacao,2026-07-22T16:37:40+00:00,195,274864,0.681,7.707,0.373,9.256,35664.2,0.5,4437.3,8.1,124.3,ok
relatorio_avaliacao-cmag-2020-pbf,2026-07-22T16:37:49+00:00,227,372592,1.081,7.968,0.468,10.118,46758.6,2.1,4435.4,8.1,123.9,ok
fndct-relatorio-de-avaliacao,2026-07-22T16:38:00+00:00,381,530255,1.467,8.462,0.689,11.317,62664.3,1.6,4435.0,8.1,115.9,ok
relatorio_avaliacao-cmas-2019-cebas-educacao,2026-07-22T16:38:11+00:00,155,189402,0.488,7.59,0.282,8.822,24953.1,1.2,4436.2,8.1,110.6,ok
fmm_relatorio-de-avaliacao,2026-07-22T16:38:20+00:00,267,309040,1.103,7.846,0.454,10.006,39385.8,2.0,4438.2,8.1,100.4,ok
exames-educ-basica_relatorio-de-avaliacao,2026-07-22T16:38:30+00:00,427,444253,1.16,8.226,0.837,10.836,54005.4,1.9,4439.1,8.1,95.9,ok
imuno-ist-relatorio-de-avaliacao,2026-07-22T16:38:41+00:00,283,327426,0.925,7.828,0.506,9.748,41825.0,1.1,4436.2,8.1,113.3,ok
relatorio_avaliacao-cmag-2020-aps,2026-07-22T16:38:51+00:00,175,261726,0.792,7.69,0.317,9.383,34034.2,-1.8,4436.2,8.1,118.9,ok
relatorio_avaliacao-cmas-2019-proger,2026-07-22T16:39:01+00:00,67,102452,0.254,7.403,0.117,8.27,13838.9,0.9,4435.3,8.1,117.6,ok
relatorio_avaliacao-cmag-sdpa,2026-07-22T16:39:09+00:00,158,256256,0.763,7.669,0.318,9.231,33416.1,1.6,4435.9,8.1,132.4,ok
